"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Belize","2013",75.86,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_PRM_H2O","Basic water service (improved and available), pre-primary school","Country","Belize","2013",82.35,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Pre-primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Guyana","2014",71,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_PRM_H2O","Basic water service (improved and available), pre-primary school","Country","El Salvador","2015",86.91,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Pre-primary level"
"4","4.a","4.a.1","SE_PRM_H2O","Basic water service (improved and available), pre-primary school","Country","Colombia","2016",56.87,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Pre-primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Mexico","2018",61.93,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Turks and Caicos Islands","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Montserrat","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Mexico","2019",49.04,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Jamaica","2019",95.89,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Honduras","2019",51.54,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Grenada","2019",98.6,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","El Salvador","2019",83.91,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Ecuador","2019",95.5,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Dominica","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Cuba","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Costa Rica","2019",75.65,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Cayman Islands","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","British Virgin Islands","2019",84.28,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Barbados","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_USC_H2O","Basic water service (improved and available), secondary school","Country","Antigua and Barbuda","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Secondary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Turks and Caicos Islands","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Montserrat","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Jamaica","2019",93.92,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Honduras","2019",64.63,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Grenada","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","El Salvador","2019",80.03,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Ecuador","2019",87,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Cuba","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Dominica","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Costa Rica","2019",86.03,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Cayman Islands","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","British Virgin Islands","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Barbados","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_LSC_H2O","Basic water service (improved and available), primary school","Country","Antigua and Barbuda","2019",100,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Primary level"
"4","4.a","4.a.1","SE_PRM_H2O","Basic water service (improved and available), pre-primary school","Country","Mexico","2019",60.9,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Pre-primary level"
"4","4.a","4.a.1","SE_PRM_H2O","Basic water service (improved and available), pre-primary school","Country","Ecuador","2019",93.3,NA,"WHO, UNICEF",NA,NA,"Proportion of schools (%)",NA,NA,NA,NA,NA,NA,NA,"4.a.1 Proportion of schools with basic water services > Pre-primary level"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Bonaire, Sint Eustatius and Saba","2005",28.70892475209,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
